nombre_completo,fecha_nacimiento,genero,telefono,correo,direccion
  Roberto   Salazar  ,14/03/1988,masculino,6011-2233, roberto.salazar@mail.com ,Panamá Norte
CARMEN RIVERA,1992-07-22,F,6022-3344,CARMEN.RIVERA@MAIL.COM,Bethania
andres soto,05-11-1979,m,6033.4455,andres.soto@mail.com,Betania
Isabel Cordero,2001/01/30,Femenino,6044-5566,isabel.cordero@mail.com,Chorrera
Roberto Salazar,14/03/1988,M,6011-2233,roberto.salazar@mail.com,Panamá Norte
Julio Cesar Núñez,1965-12-05,masculino,,julio.nunez@mail.com,Colón
Fatima Aparicio,31/02/1995,f,6055-6677,correo_invalido_sin_arroba,Panamá
,1990-01-01,M,6066-7788,sin.nombre@mail.com,Arraiján
Yolanda Ríos,1998-06-18,Otro,6077-8899,yolanda.rios@mail.com,San Miguelito
Kevin Bethancourt,   2003-09-09  ,masculino, 6088-9900 ,kevin.bethancourt@mail.com, David 
